DATE,GASREGCOVM
1990-09-01,1.258
1990-10-01,1.335
1990-11-01,1.324
1991-02-01,1.094
1991-03-01,1.040
1991-04-01,1.076
1991-05-01,1.126
1991-06-01,1.128
1991-07-01,1.096
1991-08-01,1.115
1991-09-01,1.109
1991-10-01,1.088
1991-11-01,1.099
1991-12-01,1.076
1992-01-01,1.022
1992-02-01,1.006
1992-03-01,1.013
1992-04-01,1.052
1992-05-01,1.107
1992-06-01,1.145
1992-07-01,1.137
1992-08-01,1.122
1992-09-01,1.122
1992-10-01,1.114
1992-11-01,1.111
1992-12-01,1.078
1993-01-01,1.062
1993-02-01,1.054
1993-03-01,1.052
1993-04-01,1.078
1993-05-01,1.100
1993-06-01,1.097
1993-07-01,1.078
1993-08-01,1.062
1993-09-01,1.050
1993-10-01,1.092
1993-11-01,1.066
1993-12-01,1.014
1994-01-01,0.998
1994-02-01,1.009
1994-03-01,1.008
1994-04-01,1.027
1994-05-01,1.047
1994-06-01,1.078
1994-07-01,1.106
1994-08-01,1.155
1994-09-01,1.144
1994-10-01,1.114
1994-11-01,1.110
1994-12-01,1.060
1995-01-01,1.066
1995-02-01,1.058
1995-03-01,1.059
1995-04-01,1.104
1995-05-01,1.172
1995-06-01,1.186
1995-07-01,1.148
1995-08-01,1.120
1995-09-01,1.108
1995-10-01,1.082
1995-11-01,1.058
1995-12-01,1.066
1996-01-01,1.084
1996-02-01,1.082
1996-03-01,1.129
1996-04-01,1.220
1996-05-01,1.263
1996-06-01,1.243
1996-07-01,1.215
1996-08-01,1.199
1996-09-01,1.200
1996-10-01,1.204
1996-11-01,1.235
1996-12-01,1.233
1997-01-01,1.231
1997-02-01,1.224
1997-03-01,1.197
1997-04-01,1.188
1997-05-01,1.191
1997-06-01,1.189
1997-07-01,1.167
1997-08-01,1.213
1997-09-01,1.216
1997-10-01,1.182
1997-11-01,1.158
1997-12-01,1.119
1998-01-01,1.075
1998-02-01,1.042
1998-03-01,1.014
1998-04-01,1.024
1998-05-01,1.049
1998-06-01,1.048
1998-07-01,1.039
1998-08-01,1.011
1998-09-01,0.994
1998-10-01,1.006
1998-11-01,0.979
1998-12-01,0.923
1999-01-01,0.917
1999-02-01,0.900
1999-03-01,0.961
1999-04-01,1.099
1999-05-01,1.103
1999-06-01,1.095
1999-07-01,1.138
1999-08-01,1.199
1999-09-01,1.239
1999-10-01,1.230
1999-11-01,1.240
1999-12-01,1.261
